topic,label,description,top_words
413,Romantic Relationships Between Slaves,"Narratives describing romantic relationships between enslaved individuals, often characterized by intense passion and devotion.","darl, paul, sweet, oh paul, wishe parent, lavasser, ah, eugene, shame, mistress"
414,Obtaining and Using Free Papers,"Narrators describe the process of obtaining free papers, including visiting customs houses, making oaths, and paying fees, as well as the consequences of being caught without them.","mcdaniel, friedman, mr grime, anthony, grime, mr stockwell, dimmock, stockwell, peter, tuscumbia"
415,Abraham Lincoln's Presidency,"The narrative discusses the presidency of Abraham Lincoln, including his inauguration, the reactions of those present, and the contrast between Lincoln's character and that of Vice President Andrew Johnson.","executive mansion, president, lincoln, citizen, motto, dorsey, mansion, johnson, individual motto, executive"
416,Life on Plantations and Hiring Out,"Experiences of enslaved individuals living on plantations, including descriptions of daily life, interactions with enslavers and other slaves, and the process of being hired out to work in households or for specific tasks.","port royal, peas, practice physic, jarm, gentleman, mr moodwell, moodwell, father plantation, axe, return father"
417,Toussaint L'Ouverture's Leadership and Politics,"The narrative explores Toussaint L'Ouverture's leadership, politics, and strategic decisions during the Haitian Revolution. It highlights his vision for a free Haiti, his relationships with European powers, and his efforts to maintain control and unity among his troops.","douville, toussaint, rigaud, louverture, general douville, toussaint louverture, english, roume, france, mother country"
418,"Jimmie, Plankinton, Coat Room, Laundry",{,"jimmie, plankinton, coat room, laundry, laundry work, aunt namie, namie, plankinton house, brother william, commander"
419,Grief and Mourning in Slaveholding Families,"The emotional toll of slavery on slaveholders and their families, particularly in the aftermath of a child's death.","miss, biddy, whoooop, louise, jane, susan, miss jane, bradly, rhoderic, miss templeton"
420,War and Military Encounters,"Narratives about interactions between enslaved individuals and military forces during the American Civil War, including encounters with Union soldiers, battles, and the impact of war on slave owners and communities.","army, battle, soldier, marse, troop, mcknight, war, virgil, marse jim, marse virgil"
421,"Ike, Mrs Montgomery, Servant, Montgomery",{,"ike, mrs montgomery, servant, montgomery, cassy, tompkin, brazen, adele, miss adele, mrs"
422,Kidnapping and Coercion by Slave Owners,"Narratives detailing the experiences of enslaved individuals who were kidnapped or coerced into returning to their slave owners, often involving legal proceedings and punishment for attempting to escape or resist.","miller, jail, gherardi, concklin, ellington, throckmorton, patriot, admiral gherardi, poultice, st nicola"
423,Food Rations and Hunger,"The narratives describe the meager food rations provided to enslaved individuals, often consisting of cornmeal or other staples, which were insufficient for their nutritional needs, leading to hunger and malnutrition.","pound, ration, allowance, quart, corn, meat, pound bread, ounce, beef, food"
424,Fugitive Slave Cases,"Accounts of enslaved individuals who escaped from their plantations in North America, often leading to dramatic trials and attempts at recapture.","nalle, lunsford, shane, walch, fugitive, arrest, marshal, boynton, averill, jone"
425,Finding Freedom and New Opportunities,"Narratives of enslaved individuals finding freedom, encountering new people and places, and seeking employment or education.","valentine, peter, jarm, occupation, mrs valentine, ashton, ashton warner, journey, john farney, steamer"
426,Exploitation of Poor Whites by Slave System,"The ways in which slaveholders manipulate and exploit poor white laborers, creating a system where they are nearly as enslaved as black slaves, through competition, prejudice, and economic exploitation.","black slave, mr gardiner, poor white, gardiner, competition, slaveholder, belong slaveholder, mechanic, workmen, slave black"
427,"Vo, Cloth Price, Price, Mo",{,"vo, cloth price, price, mo, vo cloth, mo cloth, cloth, bridegroom, perusal, essay"
428,"Bonnet, Pray, Lord, Prayer Meet",{,"bonnet, pray, lord, prayer meet, prayer, nice, brother sharper, wind cease, bonnet thought, wear"
429,Plantation Life and Slavery,"The narrative describes the life of a former slave owner, highlighting his decline from wealth to poverty, and the contrast between his past affluence and current circumstances. The text also portrays the interactions between the narrator's master and other characters, including a wealthy old gentleman who shows kindness and hospitality.","lloyd, comd, old grime, gentleman, ob, col, grime, cutter, mr johnson, old gentleman"
430,Life on a Ship,"Experiences and observations of life on board ships, including voyages between North America and the Caribbean.","captain, ship, montserrat, liverpool, vessel, mate, sail, shore, musquito shore, topsail"
431,Toussaint L'Ouverture's Leadership in Haitian Independence,"The narrative discusses Toussaint L'Ouverture's leadership during the Haitian Revolution, highlighting his military discipline, punishment of breaches of duty, and adoration by his soldiers and other members of Haytian society.","hayti, loverture, cultivat, toussaint, toussaint loverture, france, independence, louverture, haytien, colony"
432,Racial Profiling and Arrest of Free Black People,"The narratives describe the experiences of free black people in North America who are subject to racial profiling, arrest, and imprisonment under laws that presume them to be slaves based on their skin color. This topic highlights the injustices faced by these individuals, including being beaten, sold into slavery, and denied their personal liberty.","heavenly union, heavenly, union theyll, union, free negro, colour person, vot resolve, law, theyll, merchant"
433,The Unreliability and Cruelty of Slave Owners,"Slave owners who are cruel, untrustworthy, or prone to violence, as exemplified by Colonel Moore's treatment of Lewis and his wife.","colonel moore, moore, colonel, sort, mr harrison, gosnold, mr cleveland, cleveland, trueman, reproache"
434,Surviving in the Woods,"Narratives about finding food, shelter, and safety while living in hiding in the woods, often after escaping from plantations or fleeing abuse.","hattie, sallie, wood, come come, devil devil, aunt sallie, lorendo, sam grundy, lass grease, wisky"
435,Whipping and Plantation Punishment,"Experiences of physical punishment, violence, and threats on plantations or by plantation owners.","horse, leg, squire woodbridge, squire, bell horn, broken, highwayman, millersburg, woodbridge, ride"
436,Establishing Free Black Communities in Upper Canada,"The process of establishing free black communities in Upper Canada, including the settlement of Josiah and his fellow fugitives from slavery, and their efforts to create a manual labor school and promote economic development.","florence, enterprise, liberia, citizen, settlement, mound bayou, color people, mound, florence village, florence enterprise"
437,Racial Superiority and Biblical Justification,"The idea that enslaved Africans are an inferior race, supported by biblical interpretations and used to justify slavery.","everett, mr everett, mum bett, mum, briton, herodotus, race, greek roman, rome, bett"
438,Toussaint L'Ouverture's Life and Legacy,"Passages describing the life, leadership, and impact of Toussaint L'Ouverture, a former slave who rose to become a general, governor, and key figure in the Haitian Revolution.","toussaint, toussaint loverture, loverture, louverture, fiction, toussaint louverture, hayti, patriot, haytien, deed"
